[13:29:45] [DATA] 20 entradas subidas para 2026-04-29
[13:29:50] [SENSOR] T=22.8C H=73.0% P=--hPa L=-2lux Rain=SI ok=1
[13:30:50] [SENSOR] T=22.8C H=73.0% P=--hPa L=-2lux Rain=SI ok=1
[13:31:50] [SENSOR] T=22.8C H=73.0% P=--hPa L=-2lux Rain=SI ok=1
[13:32:50] [SENSOR] T=22.8C H=73.0% P=--hPa L=-2lux Rain=SI ok=1
[13:33:50] [SENSOR] T=22.8C H=73.0% P=--hPa L=-2lux Rain=SI ok=1
[13:35:37] [SENSOR] T=22.8C H=73.0% P=--hPa L=-2lux Rain=SI ok=1
[13:36:37] [SENSOR] T=22.8C H=73.0% P=--hPa L=-2lux Rain=SI ok=1
[13:37:37] [SENSOR] T=22.8C H=73.0% P=--hPa L=-2lux Rain=SI ok=1
[13:38:37] [SENSOR] T=22.8C H=72.0% P=--hPa L=-2lux Rain=SI ok=1
[13:39:37] [SENSOR] T=22.8C H=73.0% P=--hPa L=-2lux Rain=SI ok=1
[13:40:37] [SENSOR] T=22.8C H=73.0% P=--hPa L=-2lux Rain=SI ok=1
[13:41:37] [SENSOR] T=22.7C H=73.0% P=--hPa L=-2lux Rain=SI ok=1
[13:42:37] [SENSOR] T=22.8C H=73.0% P=--hPa L=-2lux Rain=SI ok=1
[13:43:37] [SENSOR] T=22.8C H=72.0% P=--hPa L=-2lux Rain=SI ok=1
[13:45:37] [SENSOR] T=22.8C H=72.0% P=--hPa L=-2lux Rain=SI ok=1
[13:46:37] [SENSOR] T=22.8C H=73.0% P=--hPa L=-2lux Rain=SI ok=1
[13:47:37] [SENSOR] T=22.8C H=72.0% P=--hPa L=-2lux Rain=SI ok=1
[13:48:37] [SENSOR] T=22.8C H=73.0% P=--hPa L=-2lux Rain=SI ok=1
[13:49:37] [SENSOR] T=22.8C H=73.0% P=--hPa L=-2lux Rain=SI ok=1
[13:50:37] [SENSOR] T=22.7C H=73.0% P=--hPa L=-2lux Rain=SI ok=1
[13:51:37] [SENSOR] T=22.7C H=72.0% P=--hPa L=-2lux Rain=SI ok=1
[13:52:37] [SENSOR] T=22.7C H=72.0% P=--hPa L=-2lux Rain=SI ok=1
[13:53:37] [SENSOR] T=22.8C H=72.0% P=--hPa L=-2lux Rain=SI ok=1
[13:54:37] [SENSOR] T=22.7C H=72.0% P=--hPa L=-2lux Rain=SI ok=1
[13:55:37] [SENSOR] T=22.8C H=72.0% P=--hPa L=-2lux Rain=SI ok=1
[13:56:37] [SENSOR] T=22.8C H=72.0% P=--hPa L=-2lux Rain=SI ok=1
[13:57:37] [SENSOR] T=22.8C H=72.0% P=--hPa L=-2lux Rain=SI ok=1
[13:58:37] [SENSOR] T=22.7C H=72.0% P=--hPa L=-2lux Rain=SI ok=1
[13:59:37] [SENSOR] T=22.8C H=72.0% P=--hPa L=-2lux Rain=SI ok=1
[14:00:37] [SENSOR] T=22.7C H=72.0% P=--hPa L=-2lux Rain=SI ok=1
[14:01:37] [SENSOR] T=22.8C H=72.0% P=--hPa L=-2lux Rain=SI ok=1
[14:02:37] [SENSOR] T=22.8C H=72.0% P=--hPa L=-2lux Rain=SI ok=1
[14:03:37] [SENSOR] T=22.6C H=72.0% P=--hPa L=-2lux Rain=SI ok=1
